mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-520b-3p,1.0,1.0,1.0,0,4,0.0,119,26380,0.004510993176648976,0.0
hsa-miR-520b-5p,1.0,1.0,1.0,0,4,0.0,104,26380,0.003942380591357089,0.0
hsa-miR-520c-3p,1.0,1.0,1.0,0,4,0.0,487,26380,0.018460955269143292,0.0
hsa-miR-520c-5p,1.0,1.0,1.0,0,4,0.0,75,26380,0.002843062926459439,0.0
hsa-miR-520d-3p,1.0,1.0,1.0,0,4,0.0,105,26380,0.003980288097043215,0.0
hsa-miR-520d-5p,1.0,1.0,1.0,0,4,0.0,47,26380,0.001781652767247915,0.0
hsa-miR-520e-3p,1.0,1.0,1.0,0,4,0.0,85,26380,0.0032221379833206974,0.0
hsa-miR-520f-3p,1.0,1.0,1.0,0,4,0.0,756,26380,0.028658074298711145,0.0
hsa-miR-520g-3p,1.0,1.0,1.0,0,4,0.0,105,26380,0.003980288097043215,0.0
hsa-miR-520h,0.024191216974052788,0.6736346074489994,1.0,1,4,0.25,161,26380,0.006103108415466262,40.962732919254655
hsa-miR-521,1.0,1.0,1.0,0,4,0.0,25,26380,0.0009476876421531463,0.0
hsa-miR-522-3p,1.0,1.0,1.0,0,4,0.0,113,26380,0.004283548142532221,0.0
hsa-miR-522-5p,1.0,1.0,1.0,0,4,0.0,583,26380,0.02210007581501137,0.0
hsa-miR-523-3p,1.0,1.0,1.0,0,4,0.0,14,26380,0.0005307050796057619,0.0
hsa-miR-523-5p,1.0,1.0,1.0,0,4,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-524-3p,1.0,1.0,1.0,0,4,0.0,33,26380,0.0012509476876421532,0.0
hsa-miR-524-5p,1.0,1.0,1.0,0,4,0.0,73,26380,0.0027672479150871875,0.0
hsa-miR-525-3p,1.0,1.0,1.0,0,4,0.0,50,26380,0.0018953752843062926,0.0
hsa-miR-525-5p,1.0,1.0,1.0,0,4,0.0,125,26380,0.0047384382107657315,0.0
hsa-miR-526a-3p,1.0,1.0,1.0,0,4,0.0,56,26380,0.0021228203184230476,0.0
hsa-miR-526a-5p,1.0,1.0,1.0,0,4,0.0,62,26380,0.0023502653525398027,0.0
hsa-miR-526b-3p,0.0191194758019033,0.6623846149003697,1.0,1,4,0.25,127,26380,0.0048142532221379835,51.92913385826772
hsa-miR-526b-5p,0.05115214222892552,0.9110286080186807,1.0,1,4,0.25,344,26380,0.013040181956027293,19.171511627906977
hsa-miR-527,1.0,1.0,1.0,0,4,0.0,50,26380,0.0018953752843062926,0.0
hsa-miR-532-3p,1.0,1.0,1.0,0,4,0.0,304,26380,0.011523881728582258,0.0
hsa-miR-532-5p,1.0,1.0,1.0,0,4,0.0,2188,26380,0.08294162244124337,0.0
hsa-miR-539-3p,1.0,1.0,1.0,0,4,0.0,1068,26380,0.04048521607278241,0.0
hsa-miR-539-5p,1.0,1.0,1.0,0,4,0.0,354,26380,0.013419257012888552,0.0
hsa-miR-541-3p,1.0,1.0,1.0,0,4,0.0,69,26380,0.002615617892342684,0.0
hsa-miR-542-3p,0.20559646370153797,1.0,1.0,1,4,0.25,1475,26380,0.055913570887035635,4.471186440677966
hsa-miR-542-5p,0.13713873979099483,1.0,1.0,1,4,0.25,955,26380,0.03620166793025019,6.905759162303665
hsa-miR-543,1.0,1.0,1.0,0,4,0.0,324,26380,0.012282031842304777,0.0
hsa-miR-544a,0.08111357669263483,1.0,1.0,1,4,0.25,552,26380,0.02092494313874147,11.947463768115941
hsa-miR-545-3p,1.0,1.0,1.0,0,4,0.0,289,26380,0.010955269143290371,0.0
hsa-miR-545-5p,1.0,1.0,1.0,0,4,0.0,190,26380,0.007202426080363912,0.0
hsa-miR-548a-3p,1.0,1.0,1.0,0,4,0.0,79,26380,0.002994692949203942,0.0
hsa-miR-548a-5p,0.013127439149000606,0.656347246303,1.0,1,4,0.25,87,26380,0.0032979529946929494,75.80459770114942
hsa-miR-548aa,1.0,1.0,1.0,0,4,0.0,5,26380,0.00018953752843062926,0.0
hsa-miR-548ab,1.0,1.0,1.0,0,4,0.0,4,26380,0.00015163002274450342,0.0
hsa-miR-548ad-5p,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-548ag,1.0,1.0,1.0,0,4,0.0,16,26380,0.0006065200909780137,0.0
hsa-miR-548ah-3p,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-548ah-5p,1.0,1.0,1.0,0,4,0.0,362,26380,0.013722517058377558,0.0
hsa-miR-548ak,0.01956777585216214,0.6623846149003697,1.0,1,4,0.25,130,26380,0.004927975739196361,50.73076923076923
hsa-miR-548am-5p,0.020165270192542904,0.6623846149003697,1.0,1,4,0.25,134,26380,0.005079605761940865,49.21641791044776
hsa-miR-548ao-5p,1.0,1.0,1.0,0,4,0.0,16,26380,0.0006065200909780137,0.0
hsa-miR-548ap-5p,1.0,1.0,1.0,0,4,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-548aq-3p,1.0,1.0,1.0,0,4,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-548at-5p,1.0,1.0,1.0,0,4,0.0,41,26380,0.0015542077331311599,0.0
hsa-miR-548au-5p,1.0,1.0,1.0,0,4,0.0,4,26380,0.00015163002274450342,0.0
hsa-miR-548ay-5p,1.0,1.0,1.0,0,4,0.0,91,26380,0.0034495830174374525,0.0
hsa-miR-548az-3p,1.0,1.0,1.0,0,4,0.0,23,26380,0.0008718726307808946,0.0
hsa-miR-548az-5p,1.0,1.0,1.0,0,4,0.0,78,26380,0.0029567854435178166,0.0
hsa-miR-548b-3p,1.0,1.0,1.0,0,4,0.0,81,26380,0.003070507960576194,0.0
hsa-miR-548b-5p,1.0,1.0,1.0,0,4,0.0,53,26380,0.0020090978013646704,0.0
hsa-miR-548ba,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-548bc,1.0,1.0,1.0,0,4,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-548c-5p,0.03146586184402556,0.6998092311948851,1.0,1,4,0.25,210,26380,0.00796057619408643,31.4047619047619
hsa-miR-548d-3p,1.0,1.0,1.0,0,4,0.0,42,26380,0.001592115238817286,0.0
hsa-miR-548d-5p,1.0,1.0,1.0,0,4,0.0,351,26380,0.013305534495830175,0.0
hsa-miR-548e-3p,0.06910051302057878,0.996517680260492,1.0,1,4,0.25,468,26380,0.0177407126611069,14.09188034188034
hsa-miR-548e-5p,1.0,1.0,1.0,0,4,0.0,22,26380,0.0008339651250947687,0.0
hsa-miR-548f-3p,1.0,1.0,1.0,0,4,0.0,19,26380,0.0007202426080363912,0.0
hsa-miR-548h-3p,1.0,1.0,1.0,0,4,0.0,34,26380,0.001288855193328279,0.0
hsa-miR-548h-5p,1.0,1.0,1.0,0,4,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-548i,0.017773653187932725,0.6623846149003697,1.0,1,4,0.25,118,26380,0.00447308567096285,55.88983050847458
hsa-miR-548j-5p,0.0007567704269909803,0.46427647074272443,0.9308276251989057,2,4,0.5,299,26380,0.01133434420015163,44.113712374581944
hsa-miR-548k,1.0,1.0,1.0,0,4,0.0,643,26380,0.024374526156178924,0.0
hsa-miR-548l,1.0,1.0,1.0,0,4,0.0,191,26380,0.007240333586050038,0.0
hsa-miR-548n,1.0,1.0,1.0,0,4,0.0,18,26380,0.0006823351023502654,0.0
hsa-miR-548o-3p,0.05522749002398728,0.9110286080186807,1.0,1,4,0.25,372,26380,0.014101592115238818,17.728494623655912
hsa-miR-548o-5p,0.020463914931881343,0.6623846149003697,1.0,1,4,0.25,136,26380,0.005155420773313116,48.49264705882353
hsa-miR-548q,1.0,1.0,1.0,0,4,0.0,65,26380,0.0024639878695981803,0.0
hsa-miR-548t-3p,1.0,1.0,1.0,0,4,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-548v,1.0,1.0,1.0,0,4,0.0,54,26380,0.002047005307050796,0.0
hsa-miR-548w,0.04252165375155169,0.8435747437807835,1.0,1,4,0.25,285,26380,0.010803639120545869,23.14035087719298
hsa-miR-548y,1.0,1.0,1.0,0,4,0.0,196,26380,0.007429871114480667,0.0
hsa-miR-548z,1.0,1.0,1.0,0,4,0.0,34,26380,0.001288855193328279,0.0
hsa-miR-550a-3-5p,1.0,1.0,1.0,0,4,0.0,498,26380,0.018877937831690676,0.0
hsa-miR-550a-3p,1.0,1.0,1.0,0,4,0.0,518,26380,0.019636087945413192,0.0
hsa-miR-550a-5p,1.0,1.0,1.0,0,4,0.0,654,26380,0.024791508718726308,0.0
hsa-miR-550b-2-5p,1.0,1.0,1.0,0,4,0.0,48,26380,0.0018195602729340408,0.0
hsa-miR-551b-3p,1.0,1.0,1.0,0,4,0.0,96,26380,0.0036391205458680817,0.0
hsa-miR-551b-5p,1.0,1.0,1.0,0,4,0.0,65,26380,0.0024639878695981803,0.0
hsa-miR-552-3p,1.0,1.0,1.0,0,4,0.0,21,26380,0.000796057619408643,0.0
hsa-miR-552-5p,0.026868280402081023,0.6998092311948851,1.0,1,4,0.25,179,26380,0.006785443517816528,36.84357541899441
hsa-miR-556-3p,1.0,1.0,1.0,0,4,0.0,41,26380,0.0015542077331311599,0.0
hsa-miR-556-5p,1.0,1.0,1.0,0,4,0.0,52,26380,0.0019711902956785444,0.0
hsa-miR-557,1.0,1.0,1.0,0,4,0.0,121,26380,0.004586808188021228,0.0
hsa-miR-5579-3p,1.0,1.0,1.0,0,4,0.0,33,26380,0.0012509476876421532,0.0
hsa-miR-5579-5p,1.0,1.0,1.0,0,4,0.0,39,26380,0.0014783927217589083,0.0
hsa-miR-558,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-5581-3p,1.0,1.0,1.0,0,4,0.0,229,26380,0.008680818802122821,0.0
hsa-miR-5582-3p,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-5585-3p,1.0,1.0,1.0,0,4,0.0,38,26380,0.0014404852160727823,0.0
hsa-miR-5586-3p,1.0,1.0,1.0,0,4,0.0,33,26380,0.0012509476876421532,0.0
hsa-miR-5587-5p,1.0,1.0,1.0,0,4,0.0,6,26380,0.0002274450341167551,0.0
hsa-miR-559,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-561-3p,1.0,1.0,1.0,0,4,0.0,20,26380,0.000758150113722517,0.0
hsa-miR-561-5p,0.18159619116071404,1.0,1.0,1,4,0.25,1289,26380,0.04886277482941623,5.116369278510473
